Time Pressure Temperature AccX AccY AccZ GyroX GyroY GyroZ
32136 97398.89 26.78 -0.12 -1.01 0.06 -3.56 -16.75 -17.80
32293 97396.94 26.79 -0.03 -1.02 -0.03 -6.69 6.43 3.56
32450 97397.27 26.80 -0.05 -0.98 0.04 -14.65 17.17 7.05
32605 97399.45 26.81 -0.16 -0.98 -0.05 5.78 2.69 -11.34
32761 97397.33 26.82 -0.19 -1.01 -0.01 -15.44 5.67 2.79
32918 97397.57 26.83 -0.06 -0.97 -0.20 -6.48 -13.70 -3.26
33074 97398.08 26.85 -0.02 -1.03 -0.11 12.57 13.45 15.91
33230 97396.94 26.85 -0.09 -0.99 -0.13 -0.71 12.44 14.69
33388 97397.70 26.86 -0.02 -1.02 -0.09 -22.63 -3.59 -6.78
33544 97398.37 26.88 -0.09 -0.96 -0.18 -2.12 14.35 -6.08
33699 97400.78 26.89 -0.08 -1.05 -0.19 8.75 11.83 9.87
33855 97398.09 26.89 -0.11 -1.02 -0.17 -3.15 -2.48 -2.30
34012 97397.52 26.90 -0.10 -0.96 -0.29 -12.95 4.70 -14.98
34168 97400.20 26.91 -0.05 -1.03 -0.32 -12.90 1.04 -23.17
34323 97399.61 26.92 -0.21 -1.10 -0.31 -5.36 -4.27 -18.70
34479 97396.87 26.93 -0.06 -0.98 -0.23 -3.18 2.87 -11.74
34636 97398.83 26.94 0.01 -0.87 -0.30 -23.90 19.53 13.85
34794 97397.42 26.95 -0.02 -0.93 -0.24 4.25 14.63 2.40
34951 97395.84 26.96 -0.01 -0.75 -0.25 0.68 -24.98 3.68
35107 97398.00 26.97 -0.05 -0.89 -0.38 -3.48 -19.01 4.23
35263 97397.64 26.98 -0.09 -0.88 -0.36 -11.21 -12.69 -6.04
35418 97396.64 26.98 -0.05 -0.84 -0.44 -5.16 -7.92 -0.19
35575 97398.12 27.00 -0.17 -0.97 -0.35 0.65 -0.59 -0.23
35731 97397.65 27.01 -0.05 -0.90 -0.42 -0.55 25.84 4.56
35887 97398.32 27.02 -0.10 -0.83 -0.46 2.21 64.00 23.79
36043 97400.57 27.03 -0.06 -0.90 -0.40 -3.22 64.00 21.27
36202 97397.45 27.04 0.12 -0.84 -0.48 -17.46 64.00 11.46
36357 97399.77 27.05 0.12 -0.87 -0.41 -8.06 -51.39 -11.23
36514 97397.92 27.06 -0.20 -0.94 -0.41 -10.21 -8.45 10.45
36670 97397.20 27.08 -0.37 -0.90 -0.37 -18.56 -23.20 -23.00
36827 97400.97 27.08 0.22 -0.93 -0.53 -0.75 -35.91 -12.54
36984 97400.52 27.09 -0.03 -1.08 -0.58 51.89 13.91 -11.43
37140 97401.89 27.10 0.08 -0.85 -0.47 -0.89 -59.30 -8.81
37296 97400.17 27.11 -0.05 -0.96 -0.27 -1.09 -64.00 -25.28
37453 97398.28 27.12 0.02 -0.90 -0.37 -1.46 -64.00 -33.14
37611 97399.20 27.13 -0.08 -0.88 -0.40 9.94 -64.00 -26.45
37767 97398.27 27.14 0.11 -0.93 -0.21 -3.58 -64.00 -14.18
37923 97400.54 27.16 0.11 -0.93 -0.39 -8.60 -29.53 9.18
38080 97400.62 27.16 -0.00 -1.03 -0.26 -3.39 1.52 9.03
